rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
167,bangtranit,ReactJS-ShopOnline,bangtranit/ReactJS-ShopOnline,https://github.com/bangtranit/ReactJS-ShopOnline.git,0,0,0,0,22926,2
168,jennyli513,myOnlineStore,jennyli513/myOnlineStore,https://github.com/jennyli513/myOnlineStore.git,0,0,0,27,2318,2
169,kirillgileadd,react-pizza-app,kirillgileadd/react-pizza-app,https://github.com/kirillgileadd/react-pizza-app.git,0,0,0,17,1919,2
170,davidkaggulire,react-bobo-store,davidkaggulire/react-bobo-store,https://github.com/davidkaggulire/react-bobo-store.git,0,0,0,26,5365,2
171,neverdung1999,reactJS_ShoppingOnline-,neverdung1999/reactJS_ShoppingOnline-,https://github.com/neverdung1999/reactJS_ShoppingOnline-.git,0,0,0,0,2519,2
172,avramflorin,React-proiect-2,avramflorin/React-proiect-2,https://github.com/avramflorin/React-proiect-2.git,0,0,0,16,1422,2
173,ujjan,online-store-react,ujjan/online-store-react,https://github.com/ujjan/online-store-react.git,0,0,0,21,587,2
174,sanjay501,react-E-commerce-paypal,sanjay501/react-E-commerce-paypal,https://github.com/sanjay501/react-E-commerce-paypal.git,0,0,20,19,59268,2
175,igorPae,react-eCommerce,igorPae/react-eCommerce,https://github.com/igorPae/react-eCommerce.git,0,0,19,19,7315,2
176,kabman1000,online-store-react,kabman1000/online-store-react,https://github.com/kabman1000/online-store-react.git,0,0,0,16,1891,2
177,NasirHaidari,store-with-react-redux,NasirHaidari/store-with-react-redux,https://github.com/NasirHaidari/store-with-react-redux.git,0,0,0,14,491,2
178,sasfwq123,Pizza-Project-React,sasfwq123/Pizza-Project-React,https://github.com/sasfwq123/Pizza-Project-React.git,0,1,0,17,1181,2
179,SerhiiStepanenko,shopping_cart_react,SerhiiStepanenko/shopping_cart_react,https://github.com/SerhiiStepanenko/shopping_cart_react.git,0,0,0,26,190,2
180,ColorFulLos,OnlineShopping,ColorFulLos/OnlineShopping,https://github.com/ColorFulLos/OnlineShopping.git,0,1,0,27,404,2
181,ice4ge,onlineShop,ice4ge/onlineShop,https://github.com/ice4ge/onlineShop.git,0,0,1,35,4671,2
182,DomiSzpak,OnlineShop,DomiSzpak/OnlineShop,https://github.com/DomiSzpak/OnlineShop.git,0,0,0,37,283,2
183,Nishchaljain,OnlineShop,Nishchaljain/OnlineShop,https://github.com/Nishchaljain/OnlineShop.git,0,0,0,33,768,2
184,peymancyb,onlineShop,peymancyb/onlineShop,https://github.com/peymancyb/onlineShop.git,0,0,0,34,4123,2
185,ManuKha,OnlineShop,ManuKha/OnlineShop,https://github.com/ManuKha/OnlineShop.git,0,0,0,50,263,2
186,MohammadFoadian,OnlineShop,MohammadFoadian/OnlineShop,https://github.com/MohammadFoadian/OnlineShop.git,0,0,0,36,296,2
187,abhishekkrrao,Online-shopping-Poc-react-native,abhishekkrrao/Online-shopping-Poc-react-native,https://github.com/abhishekkrrao/Online-shopping-Poc-react-native.git,0,0,1,20,2088,2
188,lu4ezar,e-shop,lu4ezar/e-shop,https://github.com/lu4ezar/e-shop.git,0,0,1,12,1146,2
189,erfan-sh-021,OnlineShope_react,erfan-sh-021/OnlineShope_react,https://github.com/erfan-sh-021/OnlineShope_react.git,0,0,0,45,195,2
190,AdrianJazowski,onlineShop,AdrianJazowski/onlineShop,https://github.com/AdrianJazowski/onlineShop.git,0,0,0,73,2273,2
191,pouya-shekari,onlineShop-react-redux,pouya-shekari/onlineShop-react-redux,https://github.com/pouya-shekari/onlineShop-react-redux.git,0,0,0,32,6125,2
192,Luke0912,Sportsjam,Luke0912/Sportsjam,https://github.com/Luke0912/Sportsjam.git,2,0,0,133,1079,2
193,Enelination,reactshop,Enelination/reactshop,https://github.com/Enelination/reactshop.git,0,0,0,28,195,2
194,WinnieZzZPooh,Online-Shop,WinnieZzZPooh/Online-Shop,https://github.com/WinnieZzZPooh/Online-Shop.git,0,0,0,29,897,2
195,Amrit618,online-shopping,Amrit618/online-shopping,https://github.com/Amrit618/online-shopping.git,0,0,0,36,488,2
196,Francis-Nwachukwu,Life-Clothing,Francis-Nwachukwu/Life-Clothing,https://github.com/Francis-Nwachukwu/Life-Clothing.git,0,2,0,84,500,2
197,MMAcode,react-codealong-online-cloth-shop,MMAcode/react-codealong-online-cloth-shop,https://github.com/MMAcode/react-codealong-online-cloth-shop.git,0,0,1,9,8741,2
198,okhouja,online-shop,okhouja/online-shop,https://github.com/okhouja/online-shop.git,0,0,0,31,726,2
199,anthony-th,online-store,anthony-th/online-store,https://github.com/anthony-th/online-store.git,0,0,0,27,3952,2
200,michael-ryk,online-shop,michael-ryk/online-shop,https://github.com/michael-ryk/online-shop.git,0,0,0,26,363,2
201,bekbolot2004,online-shop,bekbolot2004/online-shop,https://github.com/bekbolot2004/online-shop.git,0,0,0,24,3187,2
202,JoseBencomo,Online-Shop,JoseBencomo/Online-Shop,https://github.com/JoseBencomo/Online-Shop.git,0,0,0,31,361,2
203,mirelasteve,OnlineFlowerShop,mirelasteve/OnlineFlowerShop,https://github.com/mirelasteve/OnlineFlowerShop.git,0,0,17,34,552,2
204,sekhar-2425,OnlineShoppingCart,sekhar-2425/OnlineShoppingCart,https://github.com/sekhar-2425/OnlineShoppingCart.git,0,0,0,16,395,2
205,Vishalk04,OnlineShoppingApp,Vishalk04/OnlineShoppingApp,https://github.com/Vishalk04/OnlineShoppingApp.git,0,0,0,22,206,2
206,CatalinBinzari,OnlineSecondHandShop,CatalinBinzari/OnlineSecondHandShop,https://github.com/CatalinBinzari/OnlineSecondHandShop.git,0,0,0,13,950,2
207,mihaicf,online-shop,mihaicf/online-shop,https://github.com/mihaicf/online-shop.git,0,0,0,30,206,2
208,Jettik1,Node.9.OnlineShop,Jettik1/Node.9.OnlineShop,https://github.com/Jettik1/Node.9.OnlineShop.git,0,0,0,33,540,2
209,MerveMuge,OnlineShopping-BBM384,MerveMuge/OnlineShopping-BBM384,https://github.com/MerveMuge/OnlineShopping-BBM384.git,1,1,0,24,7357,2
210,valdezpjose,ShopJob,valdezpjose/ShopJob,https://github.com/valdezpjose/ShopJob.git,0,0,0,31,697,2
211,sFritsch09,Crwn-OnlineShop,sFritsch09/Crwn-OnlineShop,https://github.com/sFritsch09/Crwn-OnlineShop.git,0,0,0,40,53192,2
212,sudharsan201,ShoppingCartOnline,sudharsan201/ShoppingCartOnline,https://github.com/sudharsan201/ShoppingCartOnline.git,0,0,0,16,463,2
213,Hadi-Edalatkhah-Web,OnlineShop,Hadi-Edalatkhah-Web/OnlineShop,https://github.com/Hadi-Edalatkhah-Web/OnlineShop.git,0,0,0,31,300,2
214,milanasinik,OnlineShop,milanasinik/OnlineShop,https://github.com/milanasinik/OnlineShop.git,0,0,0,42,26748,2
215,Marek-Barela,OnlineShop,Marek-Barela/OnlineShop,https://github.com/Marek-Barela/OnlineShop.git,0,0,0,41,181,2
216,Owusu-Desmond,Quick-Shopping-App,Owusu-Desmond/Quick-Shopping-App,https://github.com/Owusu-Desmond/Quick-Shopping-App.git,0,3,0,108,4990,2
217,shimingzhao,online-shopping-cart,shimingzhao/online-shopping-cart,https://github.com/shimingzhao/online-shopping-cart.git,0,0,0,26,874,2
218,TieuHieu,OnlineShop_Django_ReactJS,TieuHieu/OnlineShop_Django_ReactJS,https://github.com/TieuHieu/OnlineShop_Django_ReactJS.git,0,0,0,0,1598,2
219,Megala-Subramani,ReactJS-Route-OnlineShopping,Megala-Subramani/ReactJS-Route-OnlineShopping,https://github.com/Megala-Subramani/ReactJS-Route-OnlineShopping.git,0,0,0,27,195,2
220,daattis,flyonlineshop-react,daattis/flyonlineshop-react,https://github.com/daattis/flyonlineshop-react.git,0,0,0,27,4339,2
221,gukaguka,react-app,gukaguka/react-app,https://github.com/gukaguka/react-app.git,0,0,0,28,759,2
222,galnir,React-Shop,galnir/React-Shop,https://github.com/galnir/React-Shop.git,0,0,10,35,1366,2
223,ch3ber,react-shop,ch3ber/react-shop,https://github.com/ch3ber/react-shop.git,0,0,0,30,474,2
