blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
16,76,1,662,6408,5021,8.2,94.1,0,0.0,67,5174,1659697449283,1676550,93,23,26450,39.3,0,0,93,1595,12,738,0.0,67350,55885,css=36327;js=19486;web=72,9504,1.0,561,82,738,5.0,528,0,7,0.0,1.0,0,5.0,0,7,
0,1,0,9,30,35,2.3,4.9,0,0.0,1,102,1602273638000,43710,0,0,0,0.0,0,0,31,70,0,10,0.0,1700,1457,css=650;js=787;web=20,150,1.0,8,1,10,4.0,5,0,0,,1.0,0,1.0,0,0,
0,0,0,0,2,26,17.8,1.2,0,0.0,0,7,1605636183000,3600,0,0,0,0.0,0,0,8,4,0,0,0.0,170,120,css=45;js=55;web=20,15,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,0,1,36,48,18.8,6.0,0,0.0,1,36,1597162964000,6240,0,0,0,0.0,0,0,8,18,0,1,0.0,300,208,css=45;js=143;web=20,46,1.0,0,0,1,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,0,14,57,65,5.0,5.2,0,0.0,1,125,1659712198085,37380,0,0,0,0.0,0,0,38,83,0,14,0.0,1524,1246,css=504;js=722;web=20,180,1.0,8,5,14,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,1,48,254,96,4.0,8.6,0,0.0,7,352,1588826808000,69930,0,0,0,0.0,0,0,43,201,0,48,0.0,2807,2331,css=116;js=2200;web=15,599,1.0,29,12,48,1.0,0,0,4,0.0,1.0,0,5.0,0,4,
3,9,12,30,62,16,0.7,6.5,0,0.0,0,182,1508614208000,72960,4,4,117,4.0,0,0,32,135,0,39,0.0,2928,2432,css=1168;js=1220;web=35;xml=9,334,1.0,21,15,39,5.0,47,0,4,0.0,1.0,0,5.0,0,4,
0,0,6,27,68,106,5.8,3.7,0,0.0,1,188,1659718806554,51870,0,0,0,0.0,0,0,70,138,1,27,0.0,2180,1729,css=391;js=1318;web=20,259,1.0,15,10,27,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,3,87,105,567,18.6,5.1,0,0.0,1,250,1659714883291,74610,17,5,822,22.9,0,0,74,137,0,89,0.0,3594,2487,css=629;js=1837;web=21,408,1.0,67,21,89,3.0,2,0,0,,1.0,0,1.0,0,0,
31,263,16,1640,61,371,2.5,2.3,0,0.0,1,214,1581789255000,438750,684,35,5548,35.1,0,0,128,119,4,1903,0.0,15820,14625,css=2034;js=2119;web=8633;xml=1839,263,1.0,1826,41,1903,5.0,346,0,40,0.0,1.0,0,5.0,0,40,
0,1,4,8,13,6,0.7,2.5,0,0.0,0,82,1565554494000,27270,0,0,0,0.0,0,0,34,68,0,9,0.0,1040,909,css=58;js=851,83,1.0,3,6,9,3.0,15,0,0,,1.0,0,1.0,0,0,
4,5,3,12,51,153,7.6,4.2,0,0.0,0,212,1610286876000,55440,0,0,0,0.0,0,0,52,159,0,17,0.0,2369,1848,css=28;js=1820,540,1.0,13,0,17,5.0,25,0,0,,1.0,0,1.0,0,0,
3,5,8,20,65,29,1.9,8.0,0,0.0,2,120,1590523982000,45750,4,3,56,3.2,0,0,17,74,0,25,0.0,1730,1525,css=313;js=1197;web=15,234,1.0,11,9,25,5.0,5,0,13,0.0,1.0,0,5.0,0,13,
3,6,6,11,60,18,1.2,6.9,0,0.0,1,131,1481851439000,43170,2,2,57,3.3,0,0,21,87,0,17,0.0,1703,1439,css=576;js=817;web=37;xml=9,222,1.0,8,5,17,5.0,26,0,0,,1.0,0,1.0,0,0,
0,0,1,40,13,598,29.3,3.0,0,0.0,0,63,1605739064000,43320,0,0,0,0.0,0,0,29,51,0,40,0.0,2302,1444,css=582;js=833;web=29,139,1.0,40,0,40,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,14,26,46,52,5.2,4.8,0,0.0,0,91,1510752399000,28650,2,2,162,14.6,0,0,21,61,0,26,0.0,1108,955,css=25;js=913;web=17,142,1.0,1,25,26,1.0,0,0,0,,1.0,0,1.0,0,0,
0,14,0,121,3206,1959,5.2,55.7,0,0.0,15,2283,1657706563000,1066800,28,4,9195,21.6,0,0,74,815,4,135,0.0,42574,35560,css=26227;js=9285;web=48,5181,1.0,101,15,135,4.0,48,0,2,0.0,1.0,0,5.0,0,2,
