complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
35,9,0,0,0,0.0,92,92,0,0,0,3,85,4,0,64,1.0,85,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",28,4.0,34,0,1.0,0,0,1.0,,64,,,,,,
38,1,0,0,0,0.0,27,27,0,0,0,13,14,0,0,25,1.0,97,0.8,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,5,0,1.0,0,0,1.0,,47,,,,,,
284,34,2,2,154,5.4,57,57,0,0,0,14,27,16,0,35,1.0,132,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",22,3.0,7,0,1.0,0,1,5.0,0.0,448,,,,,,
52,1,0,0,0,0.0,24,24,0,0,0,7,15,2,0,23,1.0,100,0.8,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,2.0,5,0,1.0,0,0,1.0,,95,,,,,,
63,1,0,0,0,0.0,20,20,0,0,0,11,9,0,0,20,1.0,76,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,113,,,,,,
66,3,0,0,0,0.0,24,24,0,0,0,7,12,5,0,23,1.0,76,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,0,0,1.0,0,0,1.0,,117,,,,,,
148,134,8,5,193,3.0,76,76,0,0,0,3,29,44,0,31,1.0,220,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",45,3.0,85,0,1.0,0,7,5.0,0.0,505,,,,,,
48,3,120,17,6966,4.4,1255,1255,0,0,0,7,1137,107,4,799,1.0,807,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",456,4.0,602,0,1.0,0,1,5.0,0.0,57,,,,,,
211,21,0,0,0,0.0,44,44,0,0,0,14,22,8,0,35,1.0,112,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",9,3.0,10,0,1.0,0,0,1.0,,329,,,,,,
228,34,0,0,0,0.0,118,118,0,0,0,9,81,28,0,58,1.0,267,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",60,3.0,60,0,1.0,0,0,1.0,,370,,,,,,
126,18,0,0,0,0.0,55,55,0,0,0,19,11,25,0,43,1.0,140,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",12,3.0,25,0,1.0,0,5,5.0,0.0,167,,,,,,
629,571,47,22,501,8.1,198,198,0,0,2,15,116,65,0,186,1.0,938,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",12,5.0,26,0,1.0,0,2,5.0,0.0,941,,,,,,
112,24,0,0,0,0.0,29,29,0,0,0,8,14,7,0,24,1.0,96,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,9,0,1.0,0,0,1.0,,195,,,,,,
23,4,0,0,0,0.0,29,29,0,0,3,2,18,6,0,15,1.0,82,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",14,5.0,37,0,1.0,0,1,5.0,0.0,54,,,,,,
130,14,0,0,0,0.0,49,49,0,0,0,12,22,15,0,49,1.0,149,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,165,,,,,,
178,42,0,0,0,0.0,37,37,0,0,0,8,18,11,0,26,1.0,106,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",11,3.0,19,0,1.0,0,1,5.0,0.0,337,,,,,,
170,82,5,3,128,7.7,85,85,0,0,0,5,44,36,0,74,1.0,325,0.9,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",11,2.0,34,0,1.0,0,1,5.0,0.0,352,,,,,,
41,27,0,0,0,0.0,12,12,0,0,0,3,8,1,0,12,1.0,60,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,2,5.0,0.0,77,,,,,,
39,1,0,0,0,0.0,16,16,0,0,0,5,8,3,0,14,1.0,46,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,3,0,1.0,0,0,1.0,,43,,,,,,
79,15,0,0,0,0.0,20,20,0,0,0,5,9,6,0,18,1.0,74,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,2.0,4,0,1.0,0,0,1.0,,140,,,,,,
388,123,2,2,77,2.3,48,48,0,0,1,16,25,6,0,45,1.0,201,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,15,0,1.0,0,3,5.0,0.0,631,,,,,,
326,100,9,4,156,4.8,32,32,0,0,0,3,14,15,0,29,1.0,128,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,14,0,1.0,0,4,5.0,0.0,776,,,,,,
168,14,2,2,50,3.1,51,51,0,0,0,24,25,2,0,46,1.0,195,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,5,0,1.0,0,4,5.0,0.0,318,,,,,,
5213,6138,828,74,7537,6.3,10509,10509,0,0,1871,229,6909,1494,6,6688,1.0,36118,1.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3821,5.0,13890,0,1.0,0,68,5.0,0.0,14619,,,,,,
67,6,5,1,172,17.2,69,69,0,0,0,9,7,53,0,17,1.0,74,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",52,2.0,113,0,1.0,0,1,5.0,0.0,141,,,,,,
197,38,2,1,33,1.5,46,46,0,0,0,17,15,14,0,38,1.0,193,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,4.0,27,0,1.0,0,0,1.0,,400,,,,,,
93,15,0,0,0,0.0,31,31,0,0,0,12,11,8,0,24,1.0,82,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",7,3.0,23,0,1.0,0,0,1.0,,196,,,,,,
204,19,0,0,0,0.0,43,43,0,0,0,14,26,3,0,38,1.0,134,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,15,0,1.0,0,0,1.0,,308,,,,,,
39,1,0,0,0,0.0,16,16,0,0,0,5,8,3,0,14,1.0,46,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,3,0,1.0,0,0,1.0,,43,,,,,,
102,97,0,0,0,0.0,28,28,0,0,0,1,21,6,0,23,1.0,99,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,20,0,1.0,0,2,5.0,0.0,264,,,,,,
1353,970,805,106,9959,17.1,5256,5256,0,0,3,64,3948,1233,8,3516,1.0,17461,1.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1740,5.0,5750,0,1.0,0,43,5.0,0.0,1288,,,,,,
498,31,0,0,0,0.0,84,84,0,0,0,12,32,39,1,58,1.0,160,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",26,3.0,34,0,1.0,0,0,1.0,,710,,,,,,
4514,6093,10,7,408,0.4,1236,1236,0,0,50,173,643,370,0,1112,1.0,10087,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",124,5.0,354,0,1.0,0,16,5.0,0.0,13775,,,,,,
